Fuel,Year,Value,Unnamed: 3,Unit,Source,Updated at,Updated by
Air,All,0.025,,Fraction/yr,"NOTE: row doubles as the CCS addition cap (CCS1 constraint). Anchored: Kazlou/Cherp/Jewell 2024 Nat Clim Change (CCS), IATA (aviation); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Heat_Buildings,All,0.04,,Fraction/yr,Assumption anchored: heating-stock turnover 15-20y -> <=5-6.7%/yr (IEA Future of Heat Pumps); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Heat_District,All,0.04,,Fraction/yr,Assumption anchored: heating-stock turnover (IEA); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Heat_Low_Industrial,All,0.05,,Fraction/yr,"Assumption anchored: equipment-turnover logic (Madeddu et al. 2020 ERL: potential, pace thin); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Heat_MediumHigh_Industrial,All,0.05,,Fraction/yr,Assumption anchored: equipment-turnover logic (Madeddu et al. 2020 ERL); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Heat_MediumLow_Industrial,All,0.05,,Fraction/yr,Assumption anchored: equipment-turnover logic (Madeddu et al. 2020 ERL); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Heat_Medium_Industrial,All,0.05,,Fraction/yr,Assumption anchored: equipment-turnover logic (Madeddu et al. 2020 ERL); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Mobility_Freight,All,0.05,,Fraction/yr,Assumption anchored: fleet-turnover/100%-sales bound ~ Norway peak (IEA GEVO); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Mobility_Passenger,All,0.05,,Fraction/yr,Assumption anchored: fleet-turnover/100%-sales bound ~ Norway peak (IEA GEVO); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Power,All,0.05,,Fraction/yr,Assumption anchored: permissive backstop ~2-3x historical phase-in frontier (Cherp et al. 2021 Nat Energy); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
Air,2018,0.005,,Fraction/yr,"NOTE: row doubles as the CCS addition cap (CCS1 constraint). Anchored: Kazlou/Cherp/Jewell 2024 Nat Clim Change (CCS), IATA (aviation); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
